Symbol
SBIN.NS
BANKBARODA.NS
PNB.NS
CANBK.NS
UNIONBANK.NS
INDIANB.NS
BANKINDIA.NS
MAHABANK.NS
IOB.NS
CENTRALBK.NS
PSB.NS
UCOBANK.NS
DLF.NS
LODHA.NS
GODREJPROP.NS
PRESTIGE.NS
PHOENIXLTD.NS
SOBHA.NS
OBEROIRLTY.NS
BRIGADE.NS
ANANTRAJ.NS
SIGNATURE.NS
MARUTI.NS
M&M.NS
BAJAJ-AUTO.NS
EICHERMOT.NS
TVSMOTOR.NS
TATAMOTORS.NS
SAMVARDHANA.NS
BOSCHLTD.NS
HEROMOTOCO.NS
ASHOKLEY.NS
UNOMINDA.NS
BHARATFORG.NS
TUBEINV.NS
EXIDEIND.NS
SONACOMS.NS
COLPAL.NS
CUMMINSIND.NS
MFSL.NS
SRF.NS
SUPREMEIND.NS
HINDPETRO.NS
BHEL.NS
UPL.NS
PIIND.NS
LUPIN.NS
MPHASIS.NS
DABUR.NS
FEDERALBNK.NS
AUROPHARMA.NS
OIL.NS
INDUSINDBK.NS
NMDC.NS
APLAPOLLO.NS
PAGEIND.NS
NHPC.NS
MARICO.NS
OFSS.NS
SUZLON.NS
JUBLFOOD.NS
PERSISTENT.NS
SBICARD.NS
BSE.NS
HDFCAMC.NS
GMRINFRA.NS
IRCTC.NS
FORTIS.NS
MUTHOOTFIN.NS
COFORGE.NS
YESBANK.NS
POLYCAB.NS
AUBANK.NS
DIXON.NS
MANKIND.NS
PAYTM.NS
INDUSTOWER.NS
POLICYBZR.NS
IDFCFIRSTB.NS
HDFCBANK.NS
BHARTIARTL.NS
ICICIBANK.NS
BAJFINANCE.NS
KOTAKBANK.NS
BAJAJFINSV.NS
BEL.NS
INDIGO.NS
SBILIFE.NS
DIVISLAB.NS
HDFCLIFE.NS
CHOLAFIN.NS
SOLARINDS.NS
MAXHEALTH.NS
MAZDOCK.NS
INDHOTEL.NS
UNITDSPR.NS
SHREECEM.NS
NYKAA.NS
BDL.NS
